,BTC 1013,BTC 1023,BTC 1032,BTC 1042,BTC 1052,BTC 1062,BTC 1072,BTC 1102,BTC 1112,BTC 1122,BTC 1132,BTC 1142,BTC 1152,BTC 1162,BTC 2182,BTC 3192,BTC 3211,BTC 3221,BTC 4241,BTC 4251,BTF 2012,BTF 2022,BTF 2032,BTF 2042,BTF 2052,BTF 2061,BTF 2072,BTF 2081,BTF 2092,BTF 2102,BTF 2112,BTF 2122,BTF 2132,BTF 2142,BTF 2162,BTF 2171,BTF 2182,BTF 2192,BTF 3202,BTF 3212,BTF 3222,BTF 3232,BTF 3242,BTF 3252,BTF 3262,BTF 3272,BTF 3282,BTF 3292,BTF 3302,BTF 3311,BTF 3321,BTF 3331,BTF 3342,BTF 3352,BTF 3361,BTF 4366,BTF 4372,BTF 4382,BTF 4391,BTF 4996,,,,,,,,,
BST/19/006,C,A,C-,AB(ESA),C+,E(CA),B,D+,C+,B,C+,E(CA),C+,B+,E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),AB(CA) & E(ESA),E(CA & ESA),E(CA) & AB(ESA),AB(CA & ESA),AB(CA & ESA),E(ESA),AB(CA & ESA),AB(CA) & E(ESA),E(CA) & AB(ESA),B,E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),A,E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),,,,,,,,,
BST/19/007,A-,A-,A+,B+,A+,A+,A-,A,B-,A,A,A-,A,A,A,B+,B-,B+,A-,A-,B-,B,A-,B,B,B+,B-,B+,A-,A-,A-,B+,B,B,A,A-,B+,A-,B,B-,A-,B+,B,B+,A-,B,B-,B,B+,B,A,A-,B+,B,B+,A,A-,A-,B-,A,,,,,,,,,
BST/19/008,B+,B-,B,B+,A-,A+,B,A-,A-,A-,A-,A,B+,A-,A+,B-,B-,B+,B,B+,B+,C,B-,B,B-,B+,B,B+,B+,A-,B-,B+,B-,B,A-,A-,B+,A-,C+,B-,A-,C+,B+,B+,A-,A-,B,B,B,B,A-,A,B,B+,A+,A,A-,C+,B,A,,,,,,,,,
BST/19/010,A-,A-,B-,A-,A,A+,A,A,A-,A,B+,A+,B+,A-,A+,A-,A,A+,A-,A,A-,B,A+,A,A+,A-,A-,B-,A-,A-,B+,A,B,B+,A-,A-,A,A-,A,A-,A,A,A,A,A,A,A-,A,A+,A,A+,A-,A,A-,A+,A+,B+,B+,A,A,,,,,,,,,
BST/19/014,C,C,C,A,C-,A+,C+,B-,B+,C,C,B,B,B,B,B-,C,C,C-,B+,C+,C+,B-,C,B,B+,B-,C-,B,A-,C,C,C+,C+,C,C-,B,A-,B,D+,B-,C,C-,C+,B,B,C-,C+,C,C,C,C,C,B,C,B+,C+,C,C,B,,,,,,,,,
BST/19/017,A-,A-,B+,B+,A+,A+,B+,A-,A,A+,B+,A+,A,A,A-,A,A+,A,A+,A,A+,A-,A+,A-,A-,A-,A-,B+,A,B,A,A+,A-,B+,A-,A-,A+,A,A,B+,A,A+,B+,A,A,A,A-,A,A+,A,A-,A,A,A-,A+,A+,A-,A-,B+,A+,,,,,,,,,
BST/19/024,B+,A,B,A,B+,A+,B+,A-,A-,B+,B+,A+,A,A-,B,B,A-,B+,A+,A,C,C+,A,B-,B+,B,C+,A,A-,A-,B-,A-,B,B+,B+,A,B,A+,C+,B+,A-,B,B-,B+,B+,A-,A-,B-,A-,A-,A+,B,A-,B-,B+,A,B+,A-,B,A,,,,,,,,,
BST/19/025,C,A-,C,A,B,A,B+,A,B+,B-,A,A-,B,B-,A+,B,C-,B+,C+,B,C,C,A-,C,C,C+,C+,C-,B+,A-,B-,B-,B-,B,C+,B-,A-,A-,B-,D+,B,C+,C,B-,B-,B-,C+,B-,B-,B-,C+,B-,B,B-,B-,A,B-,B-,C,B,,,,,,,,,
BST/19/026,B,A-,C+,A-,B+,A,B,B-,A-,B+,B,A,A-,B-,A+,B,B+,A,C,B,A-,B,A+,B+,A+,B+,A,A,A-,A-,A-,A-,A,A,A,A,A,A-,A-,B-,B+,B,A-,B+,B+,A,B-,A,A-,A,A-,B-,B+,B+,A,A-,B+,B,B,B+,,,,,,,,,
BST/19/032,B-,B+,B-,B-,A-,A,B-,B+,B+,B-,B-,A-,A,B,A+,B+,B+,B-,A-,B,A-,B-,B-,B-,B+,B,B,A-,B,A-,C,A+,B+,B+,B,A-,A-,A+,B,C+,A,C+,A-,B-,A-,A,B,B,B,A-,A,A-,B,A-,A-,A,B+,B,B,A,,,,,,,,,
